Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Watts,Calories,Average Temperature
332415013,"Jun 24, 2015, 3:46:19 PM",Keremeos,Ride,"Brain dump before I pass out of exhaustion:

- Swam in another river.
- Saw some deer.
- Descending into Princeton is amazing!
- The slight downhill from Princeton to Hedley makes for a great pace.
- Hedley is a terrible band.
- The residents of Hedley probably hate them even more than the average person.
- Water is heavy and it's hard to drink enough.
- It's also hard to eat enough food.
- I need to ditch some gear. Too much duplication between the four of us.
- BC has some very varied climate and vegetation 
- Oatmeal is tolerable when you need it to be.
- I have come to assume that nearly anywhere in Canada has cell reception
- Footlong subs are no longer enough to make me feel full. Volume is becoming a more important dietary consideration than usual.
- I'm tired.
- I'm hungry.
- My legs hurt.
- My left knee was acting up after about 100km today. 
- Summer in BC is hot.
- This is amazing, and hard.",35738,141.2,activities/376446930.fit.gz,77,44,35738,22093,141203,17.60000038,872,,388.2000122,1271.199951,40,-0.607918978,103.0810013,2539.265869,24
333107332,"Jun 25, 2015, 4:59:06 PM",Okanagan,Ride,"I didn't sleep much last night. About 4 hours probably, so my energy was really low all day. 

We decided to head north after some warnings about the climb out of Osoyoos, and the heat wave forecast. Unfortunately, it's hard to out-bike a heat wave, so we still had a sweaty one. I'm still averaging about 5 litres of water a day.

We had lunch in Penticton and met up with Andrew from Cychotic bikes in St. John's. He lives in Kelowna and offered us a crash in his basement which we gladly accepted to escape the heat. He also took our panniers from Penticton to Kelowna so that we could ride a lot faster and enjoyably for the afternoon.",32867,118.88,activities/377227772.fit.gz,77,44,32867,18581,118885,16.89999962,1009,,280,742.4000244,50,-0.082937203,132.7619934,2750.538574,30
333698305,"Jun 26, 2015, 3:55:18 PM",Heat bagged,Ride,"My Garmin (which sits between my hands all day) reported a maximum temperature of 41C.

We were aiming for Sicamous, but it's too hot to keep going so we stopped for dinner in Grindrod, and will be camping here. 

My left knee is still bothering me. I'll need a rest day soon to let my legs recover. We're looking forward to a day with no climbing soon.",32916,106.96,activities/377897481.fit.gz,77,44,32916,19039,106968,14.30000019,662,,321,512.2000122,40,-0.025241099,93.87760162,1992.879272,33
334400353,"Jun 27, 2015, 2:02:41 PM",Into the mountains again,Ride,"Another long hot day brings us to a campground east of Revelstoke. We had our best start yet, thanks to Linda's awesome hospitality, and were on the road by 7:00am. We rode 100km to Revelstoke for lunch. The morning was quite cool and flat so we made great time.

We planned the next few days while in Revy and it became apparent that there was much mor climbing to come. With that in mind, Simon and I shipped home about 6-8 lbs of gear each. Mostly redundant stuff, and we may do another round after we get to Calgary, since the threat of very cold weather will be largely behind us.

My knee is feeling better, and I feel stronger. A rest day would still be nice but likely won't happen for the next couple because we should be in a town for that, since it'll consist mostly of eating, stretching and bike maintenance, and it's hard to get a lot of food in a campground unless you carry it up there yourself.

We had two of the hottest climbs today for sure, zero wind and about 38 degrees straight on our backs. Still zero sunburn for me.

Early to bed, early to shred.",41177,138.59,activities/378695584.fit.gz,77,44,41177,23347,138590,12.89999962,997,,301.3999939,675.5999756,48,0.227577001,111.1090012,2892.378906,27
335094789,"Jun 28, 2015, 2:38:49 PM",Rogers Pass,Ride,"That was way too hot. I feel like garbage right now. 

The avalanche tunnels were not as scary as people and books had made them out to be. Quite nice actually, but we had our blinkies on anyway to be safe. The descent from Rogers Pass was about 10km of bliss, with incredible views!

Tonight we're camping in Golden. I got too much sun and not enough food or water today. Time to eat, sleep, and rehydrate.",23363,112.19,activities/379493352.fit.gz,77,44,23363,19344,112193,15.69999981,1189,,693.2000122,1307.400024,30.79999924,0.10678,119.6179962,2579.988037,28
335767112,"Jun 29, 2015, 1:20:52 PM","Alberta. Or, LL Cool Day",Ride,"Finally a day of cooler temperatures! 

We conquered our first province today, getting to Alberta at around 1:00 pm. We left Golden early to get ahead of the heat as usual, and had some incredible scenery as we climbed over the final peak of the Rockies. 

After eating poorly yesterday I overcompensated today and it paid off well, I had a ton of energy even after 120km. I still need to get better at post-ride recovery, as I'm out of gas this evening, but the rides are feeling solid.

",31918,143.31,activities/380256111.fit.gz,77,44,31918,24775,143313,17.20000076,1534,,772.7999878,1548.400024,26.29999924,0.364656001,126.5100021,3494.728027,16
336555118,"Jun 30, 2015, 2:43:41 PM","Calgary, the end of the mountains",Ride,"Banff was a beautiful evening, but brought us our first wet night, with some thundershowers in the Rockies. 

We have been checking the elevation curve of each day's ride before setting out, with Google Maps and the book I brought from MEC. Today was overall downhill, but still involved a lot (about 800m) of climbing. There was also a pretty steady headwind for most of the day, making the push a little harder than expected.

We got into town around 4:00, and Rich got his bike tuned up at a small shop. 

Tomorrow, Canada Day, will be our first rest day, in Calgary. That'll involve mostly stretching, over-eating, and sleeping in. I strongly doubt one day will eliminate the persistent ache in my quads, but I do expect we'll feel very refreshed after a day of relaxing. 10 big days in a row, we've earned it.",34062,150.6,activities/381140318.fit.gz,77,44,34062,24406,150599,15.39999962,860,,991.4000244,1389.400024,26.10000038,-0.189907998,102.7649994,2796.512207,23
337882247,"Jul 2, 2015, 1:56:50 PM",The Yellowfly Century,Ride,"There's a pattern emerging where every day is the longest day I've ever ridden. After a Canada Day rest day in Calgary, we hit the road this morning with fresh legs and panniers full of food.

Today was our first real day in the prairies, since entering Calgary also involved an awesome roll from Banff. It started out very novel and exciting but I'm already getting tired of how flat and boring the scenery is. Comparing southern Alberta to southern BC is hardly fair, but I can't help it.

Calgary is obscenely sprawling. We rode for two hours before actually leaving the city, which anywhere else would bring you through a half dozen municipalities, with their own character. The city itself is nice, and I have friends there that love it, but it's really not for me.

I've also noticed that I've been writing these posts at the end of each ride, when my energy levels are lowest, and my mood the hangriest. I'm trying to keep it light.

But seriously... today was so flat and hot and boring. 

We have heard that the wind, like the mountains in BC, will be the big determining factor in how well our days go. Today we had a pretty consistent head wind from the south east at about 15km/h. I'm looking forward to the day with a 50km/h tail wind.",31734,161.56,activities/382629553.fit.gz,77,44,31734,26029,161564,15.10000038,440,,737.4000244,1044.800049,30,-0.189522997,84.07160187,2439.954102,26
338452528,"Jul 3, 2015, 12:07:29 PM",A big straight line,Ride,"Today's train of thought:

""The prairies are terrible. I'd take mountains any day. How many more days of this? Do I even like cycling? Why are my legs moving so slowly? Am I hungry or is it the wind? Man wind is the worst. Unless it's at your back, but it'll never be at my back. What am I doing here? Is this even real life? I can see the sun and the moon at the same time. The sun light is hitting both at once, I bet that looks cool from space. Why am I biking around this rock? I'm so insignificant. Nothing matters.""",29253,156.43,activities/383270628.fit.gz,77,44,29253,24366,156434,13.5,286,,681.2000122,798.7999878,41,-0.0483272,89.75879669,2438.575195,25
339083978,"Jul 4, 2015, 1:02:16 PM",Leaving Alberta,Ride,"That was a rough headwind. We had only planned to ride about 90km today, as suggested by The Book, since the last two and next few will be large. Unfortunately a 30km/h headwind doesn't make for much of an easy day.

Regardless, we worked well together on the second half of the ride and made it to our Caribbean themed campsite by about 1:00 pm.

The extra daytime will give us a chance to catch up on a few things like minor maintenance, sleeping, laundry, etc. we should get on the road early again tomorrow as the wind seems to pick up as the sun rises.

There are a lot of ants in the prairies.
RVs annoy me more every day on the road, and every evening in the campsites. Why even leave your house if you're bringing 800 square feet of living space to go ""camping""?

The bike feels great, legs feel great, but continuously achy (breaky heart, you're welcome), and knee has stopped complaining since the mountains.

",20368,93,activities/383992141.fit.gz,77,44,20368,16290,93002.10156,14.10000038,364,,674.2000122,818.4000244,10.39999962,0.050536498,88.06639862,1599.580811,22
339989889,"Jul 5, 2015, 12:24:47 PM",Let's get this over with,Ride,"I wouldn't call it tail winds, more like cross/tail. Still better than a headwind any day.

I didn't take any photos, I was too busy riding all damn day. 

Good progress though. Getting ahead of schedule on the boring parts leaves more relaxed time for the fun parts.

My power meter is still not behaving. I'm going to officially not recommend a Stages power meter at this point. I followed all the instructions, updated all the firmware, changed the batteries, and it's still not working properly. The calorie, power and cadence numbers for today's ride are garbage data for that reason.",37847,222.24,activities/385035288.fit.gz,77,44,37847,29374,222246,13.60000038,709,,611.4000244,812,18.5,-0.0616435,18.65299988,610.9232178,14
340542388,"Jul 6, 2015, 12:31:21 PM",To Regina,Ride,"Today's 150 km felt like a rest day after yesterday. We arrived in Regina by about 2:30 pm, and met up with Rich's friend Aaron who has been gracious enough to host us.

I started the morning feeling terrible but was still able to push out 25km/h for three hours. Paul towed me the whole way, but I'm still encouraged by that stat, and I'm getting excited for riding my road bike again in Vancouver.

After arriving in Regina we did some bike maintenance. Rich broke a spoke today, and Paul needed to true a wheel. Both Paul and I had also developed slow leaks from small wire shards, likely from the shredded tires of transport trucks scattered on the shoulder occasionally. We're at over 8000km collectively and haven't had a single flat while riding yet, which is an incredible testament to the Schwalbe Marathon tires we are all running. None need replacement yet by a long shot.

Rolling into Regina is cool, it's a disproportionately nice town for the wasteland of grass that surrounds it on all sides. I like it here, but I'd miss the ocean.",28964,155.08,activities/385658669.fit.gz,77,44,28964,22975,155079,11.80000019,283,,432.2000122,699.2000122,15.19999981,-0.117747001,132.5249939,3394.909424,17
341326049,"Jul 7, 2015, 2:21:18 PM","Good wind, bad luck",Ride,"Rough day.

Yesterday evening was great, Aaron made us dinner and we met up with my buddy Mike for a beer in the evening.

Today was a late start, which made it a long one. We left Regina around 8:00. Bad things that happened:

- Paul broke a spoke
- I got a mystery flat
- Paul broke another spoke
- My previously perfect right quad started mysteriously acting up around 150km into the ride. I had to ride with mostly one leg for the last 10km.

A stretch and cool down has it feeling better, but I think 550km in 3 days is wearing on me. Perhaps another rest day is needed soon. Ideally we'd rest on bad weather, headwind, or fun city/friends days. It's a tough call, I need to be healthy above all else.",35959,178.32,activities/386543311.fit.gz,77,44,35959,25469,178328,10.10000038,303,,517.5999756,645.2000122,14.80000019,0.036786102,136.7400055,3883.133545,20
341938286,"Jul 8, 2015, 12:25:02 PM",Entering Manitoba,Ride,"My leg still hurts. I rode all day seated, since I can't put any power through my right quad while out of the saddle. This made my butt incredibly sore.

Enough about that.

We have been able to dodge the majority of the smoke from the tremendous number of forest fires this summer. When we left Vancouver things were clear, and it's now very smoky there. While we rode into the prairies folks were warning of the dark skies in Regina, but it was sunny when we arrived.

This morning the sky was gray when we woke up, but cleared as we rode. We're very lucky with timing on that front. Fingers crossed that it keeps up.",32994,132.97,activities/387284450.fit.gz,77,44,32994,19972,132974,9.100000381,52,,414.3999939,582.5999756,18.39999962,-0.121227004,115.9150009,2581.285645,17
342751793,"Jul 9, 2015, 12:09:58 PM",Almost finished the grass,Ride,"There was a hill today. I hadn't realized how much I missed both descending and climbing until I was sweating like mad and spinning my granny gear at 10 km/h.

My leg started feeling a little better after 150 km or so. Not the best rehab I'm sure, but we had a monster ~30km/h tail wind that we couldn't squander. Tomorrow will be a short one into Winnipeg, where I plan to get a massage.

Finally, we collectively slaughtered the elephant that had infiltrated our group over the last few weeks: we each had very different expectations about how this trip would go. These fall generally into two categories: 

1. Ride monster days, live frugally, and push our physical limits.
2. Ride conservative distances, soak up the small towns, and unwind at a slower pace.

Both are completely legit strategies for such an adventure, but the compromise between them lends itself to no one getting what they really want out of the summer, and everyone feeling like the trip was ""just ok"". For this reason we have decided to split off into two pairs: Paul and Rich are after the first adventure discussed above, and Simon and I are going for the second.

This is definitely a bittersweet decision, but I think we all feel quite relieved to get all the cards on the table and focus on why we are each here in the first place. We each wish the others the best tour possible, so there are absolutely zero hard feelings, and a little sadness that the hilarity and inside jokes will now diverge.

It would also have been useless to have this conversation any earlier, as we all wanted to get the prairies over with since there's not much to see, and it's very advantageous to have a larger group when fighting the wind. Tomorrow we'll hit Winnipeg, which feels like the last major prairie milestone, so we'll stock up, make sure each pair has everything they need, and continue our adventures separately. 

The first leg was insane and hilarious and amazing. The next will be even better.
",45489,207.79,activities/388184802.fit.gz,77,44,45489,31370,207798,15.10000038,314,,288.2000122,451,23.10000038,-0.068432003,128.9470062,4510.25,23
343273461,"Jul 10, 2015, 1:15:06 PM",The 'Peg,Ride,"We slept in this morning and had a mellow roll out of camp around 8:00, one of our latest in a while.

By noonish we were in Winnipeg, with Paul's rear wheel acting up again. This led us to a great little hole in the wall bike shop which rebuilt the wheel with a new rim, guaranteeing that not a single spoke would break for the rest of the trip. That's confidence in your work!

My cousin Sarah greeted us at my uncle's house in the North West part of the city, and was surprised at how eager we were to literally hose ourselves off outside before showering. A hose is one of my new favourite things. This trip has definitely readjusted my standards for things like ""clean water"".  One campsite insisted that they had high iron, but it really looked like mud. If it's brown, chug it down. Another time we sprayed ourselves down behind a gas station. If you are too proud for that, do not attempt to cycle across the prairies in the summer. Sometimes you just need to cool down for safety.

Tonight we're staying at my uncle Gary's place. Tomorrow Simon and I are planning to stick around Winnipeg, while Paul and Rich will roll on to (potentially) Ontario, as we're only about 150 km from the border.

",24310,87.7,activities/388772170.fit.gz,77,44,24310,14237,87701.20313,9.600000381,58,,223.1999969,264.6000061,43.09999847,-0.034435101,123.3440018,1957.994141,25
344896920,"Jul 12, 2015, 2:15:01 PM",Falcon Lake,Ride,"I was a little nervous falling asleep last night, seeing how things would change with a smaller group. Once we got rolling it was a little somber without Rich's morning jokes, but we quickly settled into a groove.

As karma would dictate, we had to fight a 15 km/h headwind literally all day. It was also 42 degrees with humidity, so we are currently pretty drained.

Midway through the ride we were passed by a familiar little blue hatchback, which pulled over a few minutes ahead of us. It was Gary and Melita to the rescue with a cooler full of cold drinks and a box of muffins! It was perfect timing, and a hugely thoughtful gesture when we were feeling pretty defeated by the heat and wind! Thank you both very much.

Tonight we're going to have to try to put down the nachos on our own. #nocaloriesleftbehind.",31050,155.09,activities/390642895.fit.gz,77,44,31050,25995,155098,10.60000038,195,,240.3999939,382,17.10000038,0.084849603,127.1829987,3686.326172,28
345445584,"Jul 13, 2015, 1:02:25 PM",The Canadian Shield,Ride,"There are two routes from Kenora to Thunder Bay, both of which are labeled ""Trans Canada Highway"". So theoretically, you could end up stuck in an infinite loop on there and run out of memory. Someone should patch that. I actually haven't been thinking about work much... sorry team. I hope you're kicking ass!

Anyway, we read up a little on each, and decided the southern route sounded more interesting. Most freight traffic follows the northern route, and the towns along the southern are all along the water, with less ""carnivorous wildlife"" as one website put it.

So here we are. Onto the 5th province, and nearing the point where a rain drop will eventually find its way to the Atlantic, which should be tomorrow or the next day - right now we're still in the Lake Winnipeg watershed. 

I'm excited to get to that point because it means if I melt then I'll still make it to the east coast. That's pretty likely.",30730,138.93,activities/391285288.fit.gz,77,44,30730,22675,138938,15.89999962,963,,318.2000122,453.7999878,13.30000019,0.059451099,133.9519958,3386.658203,23
346270038,"Jul 14, 2015, 12:57:10 PM",A big boring L,Ride,"Not much to say here... It was pretty boring. 

One redeeming sight was an aboriginal meeting grounds of sorts. We pulled in to refill our bottles and found ourselves in the middle of a large ring of bleachers, and a centre stage area. Each set of seats was labeled for a (presumably) local First Nation.

It felt very peaceful. A nice break from the monotonous straight lines. Southern-Northern Ontario feels a lot like Manitoba again.",41999,150.06,activities/392201937.fit.gz,77,44,41999,25947,150066,13.60000038,826,,303.3999939,384.2000122,19.60000038,-0.0094625,122.1340027,3533.447266,23
346946276,"Jul 15, 2015, 2:36:21 PM",At a coke can,Ride,"At least we're heading east.

If you ever have the choice to see this part of the country, don't bother. It's not worth it.

At least the weather was just ok. And we did good mileage. Our campsite for this evening is quite nice. 

Ontario is so big.",31428,148.22,activities/392968725.fit.gz,77,44,31428,25337,148227,12.89999962,878,,302.7999878,414.2000122,17.10000038,0.0192948,131.7449951,3721.895752,19
347687217,"Jul 16, 2015, 1:16:54 PM",Nearing civilization,Ride,"Today we crossed into the Eastern time zone, and just before that, into the Atlantic Ocean Watershed. While we didn't cross a provincial border, it still felt like a milestone. It's strange how motivating some man-made arbitrary lines in the wilderness can be for feeling like you're making progress.

It was a bigger day than we would like to be riding, but we didn't have many camping options before this with a shower, so we rode on. A shower a day keeps the saddle sores at bay.

I thought a lot about the fact that I am now just a strange biomechanical factory that takes in granola bars and Swedish berries, and turns them into forward momentum. Also, a gallon of gasoline, if I could drink it directly, would offer about 30,000 calories. So about a week's worth of riding. Cars are inefficient.",38603,177.22,activities/393827683.fit.gz,77,44,38603,30061,177224,15.30000019,1099,,286.3999939,515.5999756,14.69999981,-0.0521373,125.7220001,4213.95166,21
348313633,"Jul 17, 2015, 1:03:13 PM",Thunder Bay and a ton of rain,Ride,"What a crazy day! 

We started out checking out the Kakabeka falls near the campsite, then rolled on to Thunder Bay for lunch. We also grabbed some ""Persians"", which are a type of donut that seems to only exist in Thunder Bay. 

Overall TB is another cool town to add to the list. Seeing Lake Superior really felt like seeing the ocean, and it affects the weather in the same way any monstrous body of water does, as we have already seen, and will continue to over the next week or more. 

We rode a mellow route out of town to the Terry Fox monument, overlooking the east side of the city.

We ran into a few more bike tourists in TBay, very willing to chat about routes and road warrior tales. We realized today that we have gotten here in just under four weeks from Victoria, which sounds insane. Paul and Rich are another three or four hundred km ahead as well. Be you Angels?

We had set out without much of a defined goal for the day, other than ""not as insane as yesterday"". Chatting with folks made it sound like we were looking at a 140km day or so, but there were a few shorter options should we wish to stop earlier, so we rode on.

Then the rain started. It felt like about 300mm, but I suspect it was actually more like 6mm. It was oddly fun in a masochistic, this-is-all-part-of-it way. Eventually we ended up riding to Nipigon, as suggested. Late arrival means we may need a sleep-in in the morning.",41025,146.84,activities/394555922.fit.gz,77,44,41025,24697,146840,14.10000038,771,,212.1999969,376.3999939,42.29999924,-0.0193407,122.5510025,3374.705811,17
349044235,"Jul 18, 2015, 3:15:53 PM",Four Weeks (28 Days Later),Ride,"Today marks the end of our fourth week on the road. It was a definitely an interesting day.

We ended up splurging for a motel last night after getting totally drenched and freezing on the ride. As Simon put it, ""objectively speaking this is disgusting, but subjectively it is a palace"". By any measure, it was a piece of crap motel. The only saving grace was the lack of bed bugs. We were also blown away by the ability to simply get out of bed, pee, and get back in bed - something you take for granted when the new normal goes something like this: 
- wake up
- pretend you don't have to pee
- get really annoyed that you actually do
- decide peeing in your sleeping bag would be catastrophic
- get dressed
- squeeze out of the tent while attempting to let zero mosquitoes inside
- fail at keeping mosquitoes out
- pee while swatting mosquitoes
- get bitten three times anyway
- finish peeing
- sprint away from your tent to fake out the mosquito cloud that has formed
- cut hard back toward your tent while brushing your arms all over your body to get the clingers off
- dive back into your tent
- commence the mosquito genocide inside the tent
- sweat a lot
- get undressed once all bogies have been eliminated 
- go back to sleep

So a bathroom is nice, and a bed.

Anyway, today was fun. The 10 solid hours of sleep definitely helped morale, and the fact that although it oscillated between 10 and 30 degrees all day, as we climbed 1000m, with a headwind, we didn't get rained on. We also met some really cool folks.

One couple is circumnavigating Lake Superior on their summer off from university, and were real friendly.

Another guy named Jean-Yves is WALKING from Trois Rivieres, Quebec, to Vancouver, BC. He expects it to take until sometime late this fall. He is a retired chemical engineer, very down to earth, and shockingly normal for someone taking on such a seemingly insane trip. Paul and a rich ran into him a few days ago, and he remembered them, it was very cool to chat with him on the side of the highway for 15 minutes or so. His pace of around 30 km per day makes our 28 day distance feel like a drop in the bucket. Today was filled with great people. In general the highlight of the trip so far has been the overwhelming positivity of the folks we meet along the way. It makes me proud to be Canadian.
",28839,107.96,activities/395398282.fit.gz,77,44,28839,19616,107968,15.69999981,1088,,195.6000061,447.3999939,27.29999924,0.034639802,137.4579926,3006.459473,16
350402547,"Jul 19, 2015, 11:47:45 AM",The 1000 km week,Ride,"I wrote a post in early 2009 containing some goals I had set for myself for that year. One of them was to cycle 1000km that year. 

This week Simon and I rode 1000km. In a week.

Extrapolating forward linearly, by 2021, I should expect to be riding 1000km in just over 3 hours. Perfect.",36999,147.82,activities/396961153.fit.gz,77,44,36999,25230,147823,16.60000038,1481,,185,398.2000122,41.90000153,0.066024996,144.5410004,4066.147949,13
350527208,"Jul 20, 2015, 12:13:03 PM","Trombone sound: ""Wawa""",Ride,"This was another hard day. The monotony of the scenery is getting to me, and the challenge is no longer as difficult physically as mentally. The hills and rocks and wind and cold and lack of signs of life remind me a lot of Newfoundland, but at least as bad as that will be, I can tell myself ""6 days left. 5 days left...""

I did see a bear today though! A black bear, not a cub or an adult, I'll say it was a tween, ran across the road about 100 meters in front of me. I now no longer think I could out-ride a bear if it wanted to get me, he was pretty fast. More like a power-gallop than the frumpy lumber I was imagining.

I'm also really sick of the terrible shoulder on highway 17 through Ontario. Simon and I did the math to add a one meter wide shoulder to both sides of the entire highway, and it'd come out to around 4 square kilometres of asphalt. That's roughly 1.3 Costco or Walmart parking lots. Come onnnn tario!

We had planned to ride around 150km today, to a campground at the north end of the Lake Superior Provincial Park. After about 110km we turned a corner into a cuttingly cold headwind, which persisted for the next 20km or so, until we threw in the towel at Wawa. Luckily this brought us to what I consider one of the best campgrounds yet, complete with a hot tub and sauna, for about 25% cheaper than the Ontario parks. Solid ending to a rough day.",40986,135.76,activities/397103423.fit.gz,77,44,40986,22794,135764,14.60000038,822,,318.3999939,558.7999878,17.79999924,-0.016204501,136.0500031,3457.75293,18
